ID,name,descr
100,Classical Antiquity,Literary works from ancient Greece and Rome (8th century BCE - 5th century CE)
110,Medieval Literature,Literary works from the Middle Ages (5th - 15th century)
120,Renaissance,Literary revival and humanism (14th - 17th century)
130,Baroque,Ornate and dramatic literary style (17th century)
140,Neoclassicism,Return to classical ideals and order (17th - 18th century)
150,Enlightenment,Age of reason and intellectual revolution (18th century)
160,Romanticism,Emotion over reason and individualism (late 18th - mid 19th century)
170,Realism,Accurate representation of everyday life (mid-19th century)
180,Naturalism,Scientific approach to literature (late 19th century)
190,Symbolism,Use of symbols to express ideas and emotions (late 19th century)
200,Modernism,Experimental forms and rejection of tradition (early 20th century)
210,Postmodernism,Questioning of grand narratives and reality (mid-late 20th century)
220,Contemporary,Current literary movements (21st century)
230,Victorian Era,British literature during Queen Victoria's reign (1837-1901)
240,Beat Generation,American counterculture literary movement (1950s)
250,Harlem Renaissance,African-American cultural revival (1920s-1930s)
260,Lost Generation,Post-WWI disillusionment (1920s)
270,Magic Realism,Fantastical elements in realistic settings (20th century)
